GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUEE001,AUUEE002,AUUEE003,NAME_M,AUUEM001,AUUEM002,AUUEM003
G0600750025402,2020-2024,CA,,,California,06,San Francisco County,075,,,025402,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025402,,,06075025402,"Census Tract 254.02, San Francisco County, California",1048,764,284,"Census Tract 254.02, San Francisco County, California",177,158,121
G0600750025403,2020-2024,CA,,,California,06,San Francisco County,075,,,025403,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025403,,,06075025403,"Census Tract 254.03, San Francisco County, California",1325,762,563,"Census Tract 254.03, San Francisco County, California",155,122,160
G0600750025501,2020-2024,CA,,,California,06,San Francisco County,075,,,025501,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025501,,,06075025501,"Census Tract 255.01, San Francisco County, California",1028,752,276,"Census Tract 255.01, San Francisco County, California",184,197,119
G0600750025502,2020-2024,CA,,,California,06,San Francisco County,075,,,025502,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025502,,,06075025502,"Census Tract 255.02, San Francisco County, California",1201,818,383,"Census Tract 255.02, San Francisco County, California",123,131,131
G0600750025600,2020-2024,CA,,,California,06,San Francisco County,075,,,025600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025600,,,06075025600,"Census Tract 256, San Francisco County, California",1610,1110,500,"Census Tract 256, San Francisco County, California",201,106,184
G0600750025701,2020-2024,CA,,,California,06,San Francisco County,075,,,025701,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025701,,,06075025701,"Census Tract 257.01, San Francisco County, California",1553,931,622,"Census Tract 257.01, San Francisco County, California",243,198,256
G0600750025702,2020-2024,CA,,,California,06,San Francisco County,075,,,025702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025702,,,06075025702,"Census Tract 257.02, San Francisco County, California",1150,777,373,"Census Tract 257.02, San Francisco County, California",139,159,140
G0600750025800,2020-2024,CA,,,California,06,San Francisco County,075,,,025800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025800,,,06075025800,"Census Tract 258, San Francisco County, California",612,307,305,"Census Tract 258, San Francisco County, California",145,73,142
G0600750025900,2020-2024,CA,,,California,06,San Francisco County,075,,,025900,,,,,,,,,,,,,,,,,,,,,,,1400000US06075025900,,,06075025900,"Census Tract 259, San Francisco County, California",1422,1196,226,"Census Tract 259, San Francisco County, California",157,155,105
G0600750026001,2020-2024,CA,,,California,06,San Francisco County,075,,,026001,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026001,,,06075026001,"Census Tract 260.01, San Francisco County, California",1754,906,848,"Census Tract 260.01, San Francisco County, California",230,217,201
G0600750026002,2020-2024,CA,,,California,06,San Francisco County,075,,,026002,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026002,,,06075026002,"Census Tract 260.02, San Francisco County, California",1069,798,271,"Census Tract 260.02, San Francisco County, California",93,118,93
G0600750026003,2020-2024,CA,,,California,06,San Francisco County,075,,,026003,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026003,,,06075026003,"Census Tract 260.03, San Francisco County, California",1403,936,467,"Census Tract 260.03, San Francisco County, California",151,176,115
G0600750026004,2020-2024,CA,,,California,06,San Francisco County,075,,,026004,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026004,,,06075026004,"Census Tract 260.04, San Francisco County, California",1112,757,355,"Census Tract 260.04, San Francisco County, California",120,153,117
G0600750026100,2020-2024,CA,,,California,06,San Francisco County,075,,,026100,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026100,,,06075026100,"Census Tract 261, San Francisco County, California",2146,1401,745,"Census Tract 261, San Francisco County, California",276,259,166
G0600750026201,2020-2024,CA,,,California,06,San Francisco County,075,,,026201,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026201,,,06075026201,"Census Tract 262.01, San Francisco County, California",996,694,302,"Census Tract 262.01, San Francisco County, California",136,112,135
G0600750026202,2020-2024,CA,,,California,06,San Francisco County,075,,,026202,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026202,,,06075026202,"Census Tract 262.02, San Francisco County, California",1040,717,323,"Census Tract 262.02, San Francisco County, California",162,158,102
G0600750026301,2020-2024,CA,,,California,06,San Francisco County,075,,,026301,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026301,,,06075026301,"Census Tract 263.01, San Francisco County, California",1317,726,591,"Census Tract 263.01, San Francisco County, California",179,192,192
G0600750026302,2020-2024,CA,,,California,06,San Francisco County,075,,,026302,,,,,,,,,,,,,,,,,,,,,,,1400000US06075026302,,,06075026302,"Census Tract 263.02, San Francisco County, California",1526,979,547,"Census Tract 263.02, San Francisco County, California",248,252,172
