GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,NAME_M,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010
G0600750021400,2020-2024,CA,,,California,06,San Francisco County,075,,,021400,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021400,,,06075021400,"Census Tract 214, San Francisco County, California",3460,2385,21,46,502,0,117,389,169,220,"Census Tract 214, San Francisco County, California",382,381,33,57,234,14,103,152,87,108
G0600750021500,2020-2024,CA,,,California,06,San Francisco County,075,,,021500,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021500,,,06075021500,"Census Tract 215, San Francisco County, California",5181,2673,125,0,1192,0,169,1022,699,323,"Census Tract 215, San Francisco County, California",685,512,108,19,537,19,131,318,262,196
G0600750021600,2020-2024,CA,,,California,06,San Francisco County,075,,,021600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021600,,,06075021600,"Census Tract 216, San Francisco County, California",4531,2398,233,0,1036,11,302,551,288,263,"Census Tract 216, San Francisco County, California",572,413,242,14,334,18,305,295,212,198
G0600750021700,2020-2024,CA,,,California,06,San Francisco County,075,,,021700,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021700,,,06075021700,"Census Tract 217, San Francisco County, California",4432,2099,355,28,827,0,384,739,127,612,"Census Tract 217, San Francisco County, California",643,457,161,29,209,14,219,315,88,284
G0600750021800,2020-2024,CA,,,California,06,San Francisco County,075,,,021800,,,,,,,,,,,,,,,,,,,,,,,1400000US06075021800,,,06075021800,"Census Tract 218, San Francisco County, California",4208,2748,46,27,605,0,144,638,286,352,"Census Tract 218, San Francisco County, California",502,370,34,39,218,14,111,193,126,137
G0600750022600,2020-2024,CA,,,California,06,San Francisco County,075,,,022600,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022600,,,06075022600,"Census Tract 226, San Francisco County, California",4452,2042,74,0,1519,20,279,518,116,402,"Census Tract 226, San Francisco County, California",435,355,62,14,223,34,147,217,63,201
G0600750022702,2020-2024,CA,,,California,06,San Francisco County,075,,,022702,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022702,,,06075022702,"Census Tract 227.02, San Francisco County, California",1960,889,1,2,605,0,126,337,173,164,"Census Tract 227.02, San Francisco County, California",374,224,2,3,276,14,75,153,103,119
G0600750022704,2020-2024,CA,,,California,06,San Francisco County,075,,,022704,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022704,,,06075022704,"Census Tract 227.04, San Francisco County, California",4026,1970,118,0,1037,0,348,553,184,369,"Census Tract 227.04, San Francisco County, California",527,308,81,14,249,14,357,182,119,116
G0600750022801,2020-2024,CA,,,California,06,San Francisco County,075,,,022801,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022801,,,06075022801,"Census Tract 228.01, San Francisco County, California",4765,1913,780,325,538,28,630,551,334,217,"Census Tract 228.01, San Francisco County, California",944,432,754,315,203,54,306,358,335,150
G0600750022802,2020-2024,CA,,,California,06,San Francisco County,075,,,022802,,,,,,,,,,,,,,,,,,,,,,,1400000US06075022802,,,06075022802,"Census Tract 228.02, San Francisco County, California",2103,1028,106,21,267,1,270,410,253,157,"Census Tract 228.02, San Francisco County, California",255,261,56,42,146,3,102,182,149,118
