zip,date,rent
94127,2020-10,2872.398624826283
94105,2020-10,3101.522077556012
94108,2020-10,2502.7789548520173
94158,2020-10,3309.6409515734786
94129,2020-10,2872.398624826283
94112,2020-11,2967.553854344193
94110,2020-11,3102.180133817581
94122,2020-11,2694.768197671316
94109,2020-11,2362.7162226729247
94116,2020-11,2461.594015095475
94117,2020-11,2979.764940639893
94118,2020-11,2618.333633637797
94121,2020-11,2660.472869991266
94124,2020-11,2797.0940272937337
94114,2020-11,3127.730331971276
94102,2020-11,2461.42046222049
94115,2020-11,2728.555390592632
94103,2020-11,2809.1404947775195
94131,2020-11,3060.8606512576807
94132,2020-11,2797.0940272937337
94107,2020-11,2862.2231159881926
94133,2020-11,2760.911814991848
94123,2020-11,2984.7283444836285
94127,2020-11,2797.0940272937337
94105,2020-11,2979.9755543267825
94108,2020-11,2432.9991024758083
94158,2020-11,3088.857387624634
94129,2020-11,2797.0940272937337
94112,2020-12,3015.673010902583
94110,2020-12,3080.3201982791606
94122,2020-12,2660.733259280884
94109,2020-12,2343.850314324351
94116,2020-12,2377.8556935503407
94117,2020-12,2944.0350226587693
94118,2020-12,2472.623145015262
94121,2020-12,2622.440770629331
94124,2020-12,2749.7884940452223
94114,2020-12,3048.3004464535325
94102,2020-12,2438.990567099036
94115,2020-12,2707.4957475101933
94103,2020-12,2762.302711349196
94131,2020-12,3036.206552870381
94132,2020-12,2749.7884940452223
94107,2020-12,2802.6308096897983
94133,2020-12,2736.339581483564
94123,2020-12,2947.612184191162
94127,2020-12,2749.7884940452223
94105,2020-12,2926.517371902521
94108,2020-12,2347.6770027800835
94158,2020-12,2974.376996889082
94129,2020-12,2749.7884940452223
94112,2021-01,3055.1722403183467
94110,2021-01,3071.006540027044
94122,2021-01,2680.0437691623115
94109,2021-01,2312.7410057888123
94116,2021-01,2395.758226580841
94117,2021-01,2945.31920537097
94118,2021-01,2469.24293125055
94121,2021-01,2611.0195807552323
94124,2021-01,2750.7082774576606
94114,2021-01,3057.785828082337
94102,2021-01,2449.0747497828897
94115,2021-01,2688.446742671989
94103,2021-01,2747.123732918002
