geo_id,population,med_rent,med_hh_inc,white_pct
06075016602,1912,3338,223877,0.6971757322175732
06075015701,4777,2780,182353,0.5178982625078501
06075015600,2964,2286,92963,0.4257759784075574
06075015500,4011,2114,95841,0.4525056095736724
06075015402,2688,2932,171960,0.6700148809523809
06075015401,3205,2852,165833,0.5223088923556942
06075015300,2377,3028,214688,0.6693310896087505
06075015201,1615,2102,91420,0.5164086687306502
06075015100,2641,3336,159921,0.49185914426353655
06075013500,2807,2909,179194,0.7605985037406484
06075013402,2420,2635,175201,0.6066115702479339
06075013401,1390,2447,212593,0.658273381294964
06075013300,3952,2884,176250,0.6637145748987854
06075013200,3481,3408,164375,0.7161735133582304
06075013102,2550,3501,250001,0.668235294117647
06075013101,3768,3501,197014,0.5490976645435244
06075013002,2843,3501,244215,0.735138937741822
06075013001,1427,3483,154659,0.8163980378416258
06075012902,2589,2754,189444,0.6991116261104674
06075015202,2413,3036,156713,0.5130542892664732
06075012901,2830,3302,219125,0.6996466431095406
06075012802,1855,3501,250001,0.6566037735849056
06075012801,2568,3004,215568,0.7838785046728972
06075012602,3071,3320,244000,0.8257896450667535
06075012601,2105,2781,171058,0.7353919239904988
06075012504,693,567,19333,0.1746031746031746
06075012503,4772,1070,50696,0.15297569153394802
06075012502,4517,534,18217,0.21186628293114898
06075012406,1529,1082,,0.2975801177240026
06075012405,3764,2227,113665,0.36477151965993626
06075012404,2714,1122,,0.28887251289609434
06075012301,1924,1004,23385,0.28482328482328484
06075012700,4027,3501,234886,0.8298981872361559
06075012001,1746,1920,80300,0.35051546391752575
06075011902,3032,2025,75625,0.3723614775725594
06075011901,2022,1936,96518,0.41444114737883286
06075011800,1376,884,43487,0.06540697674418605
06075011700,1914,1533,51464,0.4503657262277952
06075011300,2589,1023,32623,0.21475473155658556
06075011200,2676,2394,121855,0.500373692077728
06075011102,2207,2312,104966,0.3638423198912551
06075011101,2477,1954,93056,0.4501412999596286
06075011002,1992,2852,157980,0.5025100401606426
06075011001,2402,2500,129423,0.5945045795170691
06075010902,2589,3154,155234,0.660100424874469
06075010300,3824,2417,158144,0.5970188284518828
06075010202,1839,2765,176958,0.6742794997281131
06075010201,2650,3114,156017,0.6769811320754717
06075010102,1917,1392,102826,0.3286384976525822
06075010101,1911,2348,89022,0.40188383045525905
06075010701,3021,741,24854,0.04932141674942072
06075010600,2957,2183,75938,0.3161988501859993
06075010500,3473,2780,179896,0.42470486610999136
06075010402,1924,2759,203354,0.6715176715176715
06075010800,4047,2151,123750,0.4408203607610576
06075012203,1524,1418,23440,0.41732283464566927
06075012202,2915,1353,57897,0.3663807890222985
06075012100,3203,1984,108000,0.48454573837027787
06075010901,2067,2898,183468,0.7092404450895017
06075010702,1398,1542,84904,0.30257510729613735
06075010401,2427,3167,181705,0.523279769262464
06075012204,2571,1643,64707,0.4072345390898483
06075023400,3536,1399,62647,0.035350678733031674
