"(2022, 9, 'hyde pine')",0.0,0.0
"(2024, 6, '95 brady san francisco ca 94103')",0.0,0.0
"(2023, 5, 'van ness turk')",0.0,0.0
"(2022, 11, '266 vienna san francisco ca 94112')",0.0,0.0
"(2024, 3, 'huron sickles')",0.0,0.0
"(2023, 8, 'california jones')",0.0,0.0
"(2023, 1, 'leavenworth ofarrell')",0.0,0.0
"(2022, 8, '4th bryant')",0.0,0.0
"(2022, 10, '1499 valencia san francisco ca 94110')",0.0,0.0
"(2024, 3, 'ellis polk')",0.0,0.0
"(2024, 5, '666 ofarrell san francisco ca 94109')",0.0,0.0
"(2022, 9, '17th vermont')",0.0,0.0
"(2023, 1, 'octavia haight')",0.0,0.0
"(2023, 3, 'russ howard')",0.0,0.0
"(2023, 6, 'noriega 38th')",0.0,0.0
"(2023, 4, 'geary 10th')",0.0,0.0
"(2022, 9, 'willow polk')",0.0,0.0
"(2024, 3, '3rd berry')",0.0,0.0
"(2024, 5, '488 ellis san francisco ca 94102')",0.0,0.0
"(2022, 11, '9th geary')",0.0,0.0
"(2022, 8, 'valley san jose')",0.0,0.0
"(2024, 5, '18 myrtle san francisco ca 94109')",0.0,0.0
"(2023, 6, 'great hwy irving')",0.0,0.0
"(2022, 9, '12 midway san francisco ca 94133')",0.0,0.0
"(2020, 5, 'not associated specific address')",0.0,0.0
"(2023, 7, '360 berry san francisco ca 94158')",0.0,0.0
"(2024, 5, 'alemany worcester')",0.0,0.0
"(2022, 11, '20 page san francisco ca 94102')",0.0,0.0
"(2023, 5, '1547 mission san francisco ca 94103')",0.0,0.0
"(2023, 6, '13th folsom')",0.0,0.0
"(2023, 8, '646 ellis san francisco ca 94109')",0.0,0.0
"(2022, 8, 'ada amity aly')",0.0,0.0
"(2024, 5, '540 alabama san francisco ca 94110')",0.0,0.0
"(2024, 6, 'folsom fremont')",0.0,0.0
"(2023, 7, 'folsom 14th')",0.0,0.0
"(2024, 4, '2940 16th san francisco ca 94103')",0.0,0.0
"(2022, 9, '33rd vicente')",0.0,0.0
"(2023, 9, '307 bocana san francisco ca 94110')",0.0,0.0
"(2023, 1, 'crystal alemany')",0.0,0.0
"(2023, 6, 'dolores 17th')",0.0,0.0
"(2022, 7, 'franklin olive')",0.0,0.0
"(2024, 3, 'hemlock polk')",0.0,0.0
"(2024, 5, 'sumner howard')",0.0,0.0
"(2024, 4, '2459 san bruno san francisco ca 94134')",0.0,0.0
"(2024, 3, '678 eddy san francisco ca 94109')",0.0,0.0
"(2022, 8, '41 willard north san francisco ca 94118')",0.0,0.0
"(2023, 2, 'octavia rose')",0.0,0.0
"(2022, 8, '115 wisconsin san francisco ca 94107')",0.0,0.0
"(2022, 11, 'newcomb selby')",0.0,0.0
"(2024, 6, '281 henry san francisco ca 94114')",0.0,0.0
"(2024, 4, '99 south van ness san francisco ca 94103')",0.0,0.0
"(2023, 8, '359 jones san francisco ca 94102')",0.0,0.0
"(2023, 1, 'golden gate franklin')",0.0,0.0
"(2024, 3, 'ellis van ness')",0.0,0.0
"(2023, 3, 'golden gate van ness')",0.0,0.0
"(2022, 10, '1675 post san francisco ca 94115')",0.0,0.0
"(2024, 5, 'state lake merced')",0.0,0.0
"(2024, 3, '988 howard san francisco ca 94103')",0.0,0.0
"(2023, 8, 'mission 16th')",0.0,0.0
"(2022, 9, 'merlin harrison')",0.0,0.0
"(2024, 3, '1271 south van ness san francisco ca 94110')",0.0,0.0
"(2022, 10, '400 hyde san francisco ca 94109')",0.0,0.0
"(2024, 5, '801 shrader san francisco ca 94117')",0.0,0.0
"(2023, 3, 'stevenson 7th')",0.0,0.0
"(2023, 8, 'jackson davis')",0.0,0.0
