id,lat,lon,year_mon
557,37.774851971,-122.43184113,2024-11
558,37.777083316,-122.416979514,2022-08
559,37.712008776,-122.44530739,2022-11
560,37.713305183,-122.449246541,2024-10
561,37.785436481,-122.415336128,2022-09
562,37.774091304,-122.419997169,2022-07
563,37.77723851,-122.431411206,2024-01
564,37.752063997,-122.422242082,2022-07
565,37.789478818,-122.414561131,2023-03
566,37.799016342,-122.428290721,2020-09
567,37.78832457,-122.393911345,2023-05
568,37.719013286,-122.480443681,2020-06
569,37.774381834,-122.390710143,2022-01
570,37.783388956,-122.409832446,2021-06
571,37.771208536,-122.448794637,2022-10
572,37.784599128,-122.411114048,2021-02
573,37.781145862,-122.409026046,2022-02
574,37.780488758,-122.394897291,2024-06
575,37.790628923,-122.419850856,2022-02
576,37.749777358,-122.419254184,2021-10
577,37.716018901,-122.477977456,2020-02
578,37.793220014,-122.406954395,2024-10
579,37.790265262,-122.408389146,2023-06
580,37.806282688,-122.412114085,2022-11
581,37.790388758,-122.414938763,2024-07
582,37.782335975,-122.393092579,2021-08
583,37.781145862,-122.409026046,2020-11
584,37.758571594,-122.399129212,2024-04
585,37.799415556,-122.412277228,2021-03
586,37.760637372,-122.425843666,2021-07
587,37.746651049,-122.42449815,2023-12
588,37.788733841,-122.437108979,2021-11
589,37.796551048,-122.405283979,2021-11
590,37.764938793,-122.434281922,2021-04
591,37.781063058,-122.409767402,2020-05
592,37.759815802,-122.478474858,2020-04
593,37.804375683,-122.446289341,2020-07
594,37.771722675,-122.393266192,2022-08
595,37.757385325,-122.413999386,2022-02
596,37.772127456,-122.416663997,2020-05
597,37.762439332,-122.481412713,2022-07
598,37.78832457,-122.393911345,2022-10
599,37.71167768,-122.447513462,2024-04
600,37.800665929,-122.428624465,2021-01
601,37.726287607,-122.43495106,2020-06
602,37.756980228,-122.42073317,2022-08
603,37.772694134,-122.42218914,2020-07
604,37.783565477,-122.415051135,2022-08
605,37.783260387,-122.418366153,2022-04
606,37.784181764,-122.414404219,2020-09
607,37.796150736,-122.409231849,2021-01
608,37.776305024,-122.463873977,2024-12
609,37.78832457,-122.393911345,2024-03
610,37.770755158,-122.425591639,2022-05
611,37.777790309,-122.412834332,2020-04
612,37.782743972,-122.414884812,2022-02
613,37.729301772,-122.390876776,2021-12
614,37.787598162,-122.420926156,2020-11
615,37.740351897,-122.421330519,2024-05
616,37.7220361,-122.401210137,2024-10
617,37.712008776,-122.44530739,2022-12
618,37.78832457,-122.393911345,2022-08
619,37.714937576,-122.471551227,2024-07
620,37.753975516,-122.400494163,2021-11
621,37.776407418,-122.437962439,2020-03
622,37.773337656,-122.409148509,2020-05
623,37.782448498,-122.416327441,2020-12
624,37.784334565,-122.389023649,2022-09
625,37.72030093,-122.434349394,2023-12
626,37.713614799,-122.464324487,2023-08
627,37.786268442,-122.412997235,2023-10
628,37.719247625,-122.452000573,2020-09
629,37.787027218,-122.394922601,2022-09
630,37.772128127,-122.422909157,2021-10
631,37.789478406,-122.406166894,2021-02
632,37.785631782,-122.413782611,2022-07
633,37.734028276,-122.437101595,2023-12
634,37.751283573,-122.408512518,2021-04
635,37.746621585,-122.500730925,2022-01
636,37.789044686,-122.424591099,2020-06
637,37.775204519,-122.468696624,2022-02
638,37.794766557,-122.424060518,2022-05
639,37.763734209,-122.474452971,2021-06
640,37.752822074,-122.409603405,2020-11
641,37.78658886,-122.401692292,2020-03
642,37.766176307,-122.427142651,2020-01
643,37.78832457,-122.393911345,2022-10
644,37.783388956,-122.409832446,2020-01
645,37.787071402,-122.391567493,2022-04
646,37.758676483,-122.417413346,2024-09
647,37.77162188,-122.506152211,2024-06
648,37.777790309,-122.412834332,2021-06
649,37.781538062,-122.448850916,2020-11
650,37.766493452,-122.438391369,2024-06
651,37.763407358,-122.439048936,2021-03
652,37.78832457,-122.393911345,2022-10
653,37.717612479,-122.482371216,2021-01
654,37.762773726,-122.417186682,2021-02
655,37.786986977,-122.419110401,2020-06
656,37.766134387,-122.421935076,2023-12
657,37.780961754,-122.48687983,2024-11
658,37.759628007,-122.446494078,2022-03
659,37.777486533,-122.397691886,2022-09
660,37.783673953,-122.415072979,2022-12
661,37.786986977,-122.419110401,2024-06
662,37.78832457,-122.393911345,2022-08
663,37.783260387,-122.418366153,2023-08
