zip,tract,res_ratio,date
94127,06075021700,0.0013768932281887595,2022-06
94127,06075031100,0.08111152835148329,2022-06
94127,06075031000,0.056202278132432094,2022-06
94127,06075030600,0.10677181124045562,2022-06
94127,06075030900,0.23156840655901864,2022-06
94127,06075030500,0.013894104393541119,2022-06
94127,06075030700,0.29365377393916636,2022-06
94127,06075030800,0.2154212041557141,2022-06
94103,06075022704,0.0003786623751597482,2022-06
94103,06075022802,4.7332796894968525e-05,2022-06
94103,06075017801,0.04312017797131632,2022-06
94103,06075018000,0.04638614095706915,2022-06
94103,06075020300,0.016424480522554078,2022-06
94103,06075017700,0.07994509395560184,2022-06
94110,06075021100,0.004629008452971957,2022-06
94110,06075022903,0.038910505836575876,2022-06
94110,06075022801,0.07322554675969409,2022-06
94110,06075020300,0.0013752851200858715,2022-06
94110,06075021500,0.029249966456460486,2022-06
94110,06075025403,0.029954380786260566,2022-06
94110,06075022901,0.0536025761438347,2022-06
94110,06075021800,0.0025157654635717163,2022-06
94110,06075021000,0.0795988192674091,2022-06
94110,06075025100,0.04736347779417684,2022-06
94110,06075020900,0.06373272507715014,2022-06
94110,06075021400,0.0032872668724003755,2022-06
94110,06075025401,0.04635717160874815,2022-06
94110,06075025402,0.037166241781832816,2022-06
94110,06075025300,0.06239098349657856,2022-06
94110,06075022902,0.027975311954917485,2022-06
94110,06075022803,0.05699047363477794,2022-06
94110,06075017700,0.00372333288608614,2022-06
94110,06075025200,0.0763786394740373,2022-06
94110,06075022802,0.02448678384543137,2022-06
94105,06075010500,0.0,2022-06
94102,06075016300,0.048772034066151715,2020-03
94102,06075016802,0.10833828480887304,2020-03
94102,06075012100,0.016042780748663103,2020-03
94102,06075016801,0.04367201426024955,2020-03
94102,06075016200,0.1086848880966528,2020-03
94102,06075012302,0.04897009308774015,2020-03
94102,06075011700,0.0014359279065161417,2020-03
94102,06075012301,0.06818181818181818,2020-03
94102,06075012502,0.11725094078035254,2020-03
94102,06075016000,0.062240047534165184,2020-03
94103,06075017801,0.04697809448403273,2020-03
94103,06075018000,0.05062021641594088,2020-03
94103,06075020300,0.018368962787015043,2020-03
94103,06075017700,0.04386381631037213,2020-03
94103,06075022802,5.278437582475587e-05,2020-03
94103,06075022704,0.000422275006598047,2020-03
94105,06075010500,0.0,2020-03
94107,06075022702,0.05885043451745693,2020-03
94107,06075022903,0.0,2020-03
94107,06075018000,0.09666107638359506,2020-03
94107,06075022600,0.116633633175789,2020-03
94107,06075022704,0.11922549169080653,2020-03
94107,06075022802,5.082075519642222e-05,2020-03
94107,06075017801,0.08339685927732886,2020-03
94107,06075980900,0.01997255679219393,2020-03
94107,06075010500,0.0,2020-03
94108,06075011800,0.08855054811205847,2020-03
94108,06075060100,0.0,2020-03
94108,06075011902,0.2679658952496955,2020-03
94108,06075012100,0.07149817295980511,2020-03
94108,06075011300,0.1325213154689403,2020-03
94108,06075011700,0.09317904993909866,2020-03
94108,06075010800,0.02533495736906212,2020-03
94108,06075011901,0.03118148599269184,2020-03
94108,06075011200,0.1643118148599269,2020-03
94109,06075015100,0.05420720624398589,2020-03
94109,06075010800,0.02721052068854913,2020-03
94109,06075012302,0.020822196086817065,2020-03
94109,06075011901,0.04354217898000642,2020-03
94109,06075012100,0.043515449588367366,2020-03
94109,06075012902,0.00034748209130760186,2020-03
94109,06075011200,0.02878755479525286,2020-03
94109,06075012901,0.007778252966962472,2020-03
94109,06075015900,0.014620977226558323,2020-03
94109,06075016000,0.020100502512562814,2020-03
94109,06075015500,0.03135357639260131,2020-03
94109,06075013102,0.045119213086710144,2020-03
94109,06075013101,0.06821340746284614,2020-03
94109,06075012202,0.04423714316262162,2020-03
94110,06075025200,0.07689689212649352,2020-03
94110,06075025403,0.030261769411444327,2020-03
94110,06075021500,0.029580964700275728,2020-03
94110,06075022901,0.0509582326309698,2020-03
94110,06075020300,0.0013956496578956326,2020-03
94110,06075022903,0.039350512305545156,2020-03
94110,06075021100,0.004629472035946489,2020-03
94110,06075017700,0.003812506382544167,2020-03
94110,06075022802,0.024781291486537085,2020-03
94110,06075021000,0.07975627191340164,2020-03
94110,06075021800,0.002553017666882255,2020-03
94110,06075025100,0.0478946114307111,2020-03
94110,06075020900,0.06443816591210812,2020-03
94110,06075025401,0.04697552507063349,2020-03
94110,06075025402,0.03768254076318208,2020-03
94110,06075025300,0.0638594819076148,2020-03
94110,06075021400,0.0033359430847261463,2020-03
94110,06075022803,0.056949314089253494,2020-03
94110,06075022902,0.028117234571263233,2020-03
94110,06075022801,0.06682098240119821,2020-03
94112,06075031302,0.00027522935779816516,2020-03
94112,06075025403,0.02793577981651376,2020-03
94112,06075026002,0.03885321100917431,2020-03
94112,06075031100,0.03688073394495413,2020-03
94112,06075025600,0.03357798165137615,2020-03
94112,06075026001,0.065,2020-03
94112,06075980501,0.0008715596330275229,2020-03
94112,06075026303,0.05252293577981652,2020-03
94112,06075026003,0.05798165137614679,2020-03
94112,06075031202,0.03605504587155963,2020-03
94112,06075026302,0.04610091743119266,2020-03
94112,06075031000,0.0523394495412844,2020-03
94112,06075026100,0.1021559633027523,2020-03
94112,06075026004,0.04655963302752294,2020-03
94112,06075031201,0.07481651376146789,2020-03
94112,06075030900,0.0007798165137614678,2020-03
94112,06075026301,0.05371559633027523,2020-03
94112,06075031301,0.0010091743119266055,2020-03
94114,06075030500,0.007008086253369272,2020-03
94114,06075016700,0.001078167115902965,2020-03
94114,06075021200,0.08474393530997304,2020-03
94114,06075021100,0.1060377358490566,2020-03
94114,06075021300,0.06059299191374663,2020-03
94114,06075017000,0.09056603773584905,2020-03
94114,06075020500,0.10512129380053908,2020-03
94114,06075020300,0.08814016172506739,2020-03
94114,06075030102,0.008194070080862533,2020-03
94114,06075020402,0.036172506738544476,2020-03
94114,06075016900,0.09498652291105121,2020-03
94114,06075020401,0.09283018867924528,2020-03
94114,06075021400,0.0649056603773585,2020-03
94114,06075016801,0.0061455525606469,2020-03
94115,06075013200,0.09747016706443914,2020-03
94115,06075013102,0.0011933174224343676,2020-03
94115,06075015802,0.0598090692124105,2020-03
94115,06075015300,0.05627684964200477,2020-03
94115,06075060100,0.0002863961813842482,2020-03
94115,06075013500,0.09260143198090692,2020-03
94115,06075013300,0.01675417661097852,2020-03
94115,06075015900,0.1115035799522673,2020-03
94115,06075015500,0.09365155131264917,2020-03
94115,06075015801,0.08539379474940334,2020-03
94116,06075030500,0.0,2020-03
94116,06075030102,0.0,2020-03
94116,06075035400,0.14975569515832224,2020-03
94116,06075035300,0.1528650295069484,2020-03
94116,06075030302,0.05603147407830446,2020-03
94116,06075030600,0.0020940415000951836,2020-03
94116,06075030800,0.04867060092645473,2020-03
94116,06075030301,0.003616980772891681,2020-03
94116,06075032802,0.024176660955644393,2020-03
94116,06075032901,0.13807982740021574,2020-03
94116,06075030400,0.12602322482391015,2020-03
94116,06075060400,0.00031727901516593693,2020-03
