id,lat,lon,year_month
191,37.779530959,-122.413542707,2012-08
192,37.742786674,-122.436282312,2016-01
193,37.759954877,-122.450213628,2014-06
194,37.759503829,-122.417972425,1998-09
195,37.793980821,-122.405476352,2021-01
196,37.787289038,-122.424236212,2025-01
197,37.741742278,-122.484128894,2002-12
198,37.717515182,-122.480598519,2016-02
199,37.725150219,-122.429126602,2020-01
200,37.789975489,-122.446621089,1997-10
201,37.782710802,-122.490228689,2014-10
202,37.749627249,-122.409298745,2006-11
203,37.777083316,-122.416979514,2018-06
204,37.737722668,-122.426815513,2017-02
205,37.800938367,-122.405642887,2015-06
206,37.793817954,-122.430615254,2001-05
207,37.789160784,-122.416183426,2012-08
208,37.771366908,-122.399043696,2025-01
209,37.770984873,-122.424363784,2012-01
210,37.75940092,-122.507932859,2018-10
211,37.779856586,-122.468564167,2001-01
212,37.727704433,-122.418381193,2015-03
213,37.753464281,-122.423863311,2004-07
214,37.744200384,-122.418140898,2004-03
215,37.771924834,-122.446503613,2025-10
216,37.771304261,-122.444696666,2001-03
217,37.77398355,-122.449489917,1997-11
218,37.798689015,-122.415061916,1997-12
219,37.715544557,-122.473629106,2017-12
220,37.766257677,-122.433362681,2004-02
221,37.785078597,-122.412895408,2002-12
222,37.781287653,-122.411318099,2016-02
223,37.729642815,-122.44207757,2015-06
224,37.780961754,-122.48687983,2019-06
225,37.777083316,-122.416979514,2018-01
226,37.758908288,-122.476606718,2001-02
227,37.789584068,-122.428071911,2012-11
228,37.776485289,-122.440655341,2009-12
229,37.760186264,-122.46765242,1998-02
230,37.779891588,-122.403958048,2026-02
231,37.774618638,-122.440277287,2015-08
232,37.731440103,-122.450001755,1998-06
233,37.716652151,-122.474170187,2009-12
234,37.779530959,-122.413542707,2012-08
235,37.73232468,-122.410212076,2022-02
236,37.798535302,-122.405486521,2000-09
237,37.751509843,-122.417210392,2005-06
238,37.800390761,-122.413810263,2001-04
239,37.752631601,-122.425380692,1999-02
240,37.761105353,-122.469258408,2009-09
241,37.765739788,-122.434358454,2015-02
242,37.788652791,-122.416853689,2006-02
243,37.78311962,-122.420710086,2010-02
244,37.791467553,-122.413273079,2000-03
245,37.749817567,-122.432828271,2000-10
246,37.716652151,-122.474170187,2011-08
247,37.714860574,-122.454246074,1998-06
248,37.749886062,-122.421741734,2005-05
249,37.79125717,-122.414917736,2001-10
250,37.802015301,-122.423063173,2000-10
251,37.745694889,-122.426925756,1997-10
252,37.757462775,-122.466996545,2013-01
253,37.71568992,-122.45479584,2010-09
254,37.765028469,-122.455570538,2002-12
255,37.720636174,-122.471593704,2008-08
256,37.758676483,-122.417413346,2015-04
257,37.824060373,-122.376475383,2009-11
258,37.775886542,-122.448858645,2005-02
259,37.740063622,-122.424290357,2019-05
260,37.754503089,-122.420819131,2018-12
261,37.781145862,-122.409026046,1999-06
262,37.720124587,-122.483106169,2014-04
263,37.738127536,-122.424063544,2017-05
264,37.759383293,-122.419977164,1998-06
265,37.788020549,-122.42606156,2024-09
266,37.784667618,-122.443995999,1997-09
267,37.709014727,-122.407917699,2000-07
268,37.758280252,-122.411571083,2017-05
269,37.7602588,-122.40304058,2013-02
270,37.778879822,-122.433569963,1997-07
271,37.793254762,-122.407561289,2016-11
272,37.719907946,-122.395201605,2025-08
273,37.782127118,-122.461066067,2007-09
274,37.729132807,-122.447707177,2003-05
275,37.775757292,-122.475888701,2014-01
276,37.764406154,-122.479401556,2002-03
277,37.762067658,-122.489849529,2012-12
278,37.786878503,-122.41908853,2001-10
279,37.781287653,-122.411318099,2013-10
280,37.803854912,-122.44147958,1997-12
281,37.785631782,-122.413782611,1998-03
282,37.730144703,-122.432250454,2016-07
283,37.728708769,-122.451191074,2001-06
284,37.73598451,-122.425779023,2013-03
285,37.718910388,-122.4634821,2005-03
286,37.78161364,-122.41205414,2025-05
287,37.773089318,-122.42979862,2014-06
288,37.791118804,-122.416758004,2002-04
289,37.786360792,-122.415616899,2013-03
290,37.756297556,-122.417804428,2019-11
291,37.76627443,-122.417662867,1997-10
292,37.775857094,-122.473699638,1997-10
293,37.781968249,-122.439327447,2012-10
294,37.762986118,-122.427843219,2019-06
295,37.765147863,-122.482069613,2006-07
296,37.7833355,-122.476440777,2000-11
297,37.776478584,-122.44494161,2006-12
298,37.77311486,-122.492763024,2014-07
299,37.751774655,-122.44498857,2010-01
300,37.774876894,-122.495176039,2011-05
301,37.729886833,-122.386191732,2003-01
302,37.773393279,-122.434919576,1997-10
303,37.752642953,-122.425087681,1999-10
304,37.784299382,-122.410141319,2002-10
305,37.770224903,-122.423794594,2012-04
306,37.794664654,-122.404767635,2011-05
307,37.716592476,-122.479658243,2016-08
308,37.775794016,-122.446967871,1997-11
309,37.792157265,-122.419243422,2016-07
310,37.79248129,-122.407636416,2008-02
311,37.720124587,-122.483106169,2016-02
312,37.766125945,-122.422073048,2004-03
313,37.771514704,-122.438872424,2002-09
314,37.755720606,-122.443153254,1999-03
315,37.801626726,-122.411178941,2008-10
316,37.774657578,-122.4250014,2001-06
317,37.783777981,-122.409264025,2004-03
318,37.783777981,-122.409264025,2022-02
319,37.734770926,-122.413374481,2003-06
320,37.783737687,-122.443805104,2017-01
321,37.712582477,-122.399711876,2020-07
322,37.769075752,-122.420788635,1999-10
323,37.796158961,-122.415907056,2015-01
324,37.721611144,-122.408837675,2001-04
325,37.739135068,-122.429736808,2000-11
326,37.786042449,-122.414780263,2024-10
327,37.774974267,-122.493042594,1998-09
328,37.716155569,-122.468468213,2001-02
329,37.781890068,-122.466425679,2000-07
330,37.793047786,-122.430455128,2001-02
331,37.798430739,-122.402662663,2017-03
332,37.729631268,-122.433808866,2003-10
333,37.73002972,-122.387395566,2017-02
334,37.768346377,-122.444987083,2003-03
335,37.728708769,-122.451191074,2006-06
336,37.753988419,-122.483440491,2016-01
337,37.729450418,-122.436635664,1999-12
338,37.750233258,-122.431686491,1999-01
339,37.788056691,-122.43324728,2016-08
340,37.762352641,-122.389601294,2021-02
341,37.757952124,-122.49829673,1998-07
342,37.761105353,-122.469258408,2009-09
343,37.721904919,-122.454617026,2009-07
344,37.723947171,-122.443848556,2007-01
345,37.735434012,-122.432427784,1998-06
346,37.730329276,-122.435108671,2001-08
347,37.776670664,-122.428828213,2001-02
348,37.783975804,-122.462278444,2004-08
349,37.779175602,-122.483662767,2022-09
350,37.781072089,-122.465889702,1997-12
351,37.78658886,-122.401692292,2019-11
352,37.749024666,-122.425037247,2003-08
353,37.785890332,-122.411725718,2016-03
354,37.709671481,-122.455128276,2000-05
355,37.755190987,-122.409437394,2017-01
356,37.721778046,-122.460733044,2022-09
357,37.782753712,-122.489292473,2000-12
358,37.749841568,-122.424810976,2011-05
359,37.790698769,-122.411621209,2001-09
360,37.762332704,-122.425066279,2019-12
361,37.715544557,-122.473629106,1998-09
362,37.748285914,-122.417042349,2019-09
363,37.785890332,-122.411725718,2021-02
