zip,tract,res_ratio
94117,6075016500,0.124610278587951
94117,6075017102,0.0921753997787388
94117,6075015700,0.021623252539475
94117,6075016700,0.125666297898018
94117,6075017101,0.0989138087096449
94117,6075016900,0.00261490495826209
94117,6075015802,0.0209192396660967
94117,6075017000,0.0344463441617218
94117,6075016600,0.156341144523785
94117,6075030101,0.0328874585135271
94158,6075022600,0.00088778409090909
94158,6075060700,0.99911221590909
94112,6075031302,0.000272975432211101
94112,6075026002,0.0428116469517743
94112,6075031100,0.035395814376706
94112,6075025403,0.0277070063694267
94112,6075026001,0.0646041856232939
94112,6075026200,0.082666060054595
94112,6075025600,0.0333030027297543
94112,6075980501,0.000864422202001819
94112,6075025500,0.108507734303912
94112,6075026303,0.0520928116469517
94112,6075031202,0.0357597816196542
94112,6075026003,0.0575523202911737
94112,6075031000,0.0520928116469517
94112,6075026302,0.0456778889899909
94112,6075026004,0.0462693357597816
94112,6075031400,0.0779799818016378
94112,6075026100,0.104413102820746
94112,6075031201,0.0753867151956323
94112,6075030800,0.00127388535031847
94112,6075030900,0.000773430391264786
94112,6081600700,0.00013648771610555
94112,6075026301,0.0534576888080072
94112,6075031301,0.00100090991810737
94116,6075060400,0.000315477317180894
94116,6075032901,0.137800492144614
94116,6075030400,0.125433781311123
94116,6075030500,0.0
94116,6075035201,0.0188655435674175
94116,6075030102,0.0
94116,6075032902,0.024354848886365
94116,6075032801,0.0895324626159379
94116,6075035400,0.152943403369297
94116,6075035300,0.152375544198372
94116,6075030302,0.0558394851410183
94116,6075030600,0.0020821502933939
94116,6075030800,0.0484573159189854
94116,6075035100,0.00643573727049025
94116,6075030301,0.00359644141586219
94116,6075032802,0.0240393715691841
94116,6075033000,0.157927944980755
94123,6075013102,0.00827326856784706
94123,6075013200,0.0325916640551551
94123,6075012700,0.144468818552178
94123,6075012602,0.132246944531494
94123,6075013101,0.00770918207458476
94123,6075012901,0.08937637104356
94123,6075012800,0.170228768411156
94123,6075012902,0.141021623315575
94123,6075012601,0.104042619868379
94123,6075060100,0.00100282043246631
94123,6075013000,0.169037919147602
94129,6075011700,0.0
94129,6075060100,1.0
94129,6075015400,0.0
94118,6075060100,0.000213538330130258
94118,6075013300,0.0952380952380952
94118,6075047600,0.0580824257954302
94118,6075980300,0.0
94118,6075015700,0.0791693358957932
94118,6075015400,0.10991885543455
94118,6075040200,0.137678838351484
94118,6075045200,0.159352978859705
94118,6075042602,0.043401665598975
94118,6075040100,0.111360239162929
94118,6075042800,0.00437753576767029
94118,6075045100,0.118887465300021
94118,6075015600,0.0823190262652146
94115,6075015802,0.0599752286585365
94115,6075016100,0.109422637195121
94115,6075013102,0.00119092987804878
94115,6075013200,0.0973704268292682
94115,6075015200,0.0658346036585365
94115,6075015801,0.090748856707317
94115,6075015500,0.0698837652439024
