ZIP,TRACT,RES_RATIO
94121,6075047801,0.08841836734693878
94121,6075042602,0.03974489795918367
94121,6075042800,0.048112244897959185
94121,6075980300,0.002295918367346939
94121,6075047702,0.08352040816326531
94121,6075047901,0.14341836734693877
94121,6075047902,0.0796938775510204
94121,6075042700,0.1373469387755102
94121,6075047600,0.06260204081632653
94121,6075047802,0.08255102040816327
94122,6075030101,0.06162996709693749
94122,6075035202,0.07765966422002868
94122,6075032700,0.09959503923057454
94122,6075030301,0.10267442841474732
94122,6075030201,0.0810343372985742
94122,6075032602,0.06956044883151945
94122,6075032902,0.035940268286509744
94122,6075032802,0.04610647093562811
94122,6075030302,0.021091706740909474
94122,6075030202,0.10423521471357462
94122,6075035201,0.06875896397536489
94122,6075032601,0.08997722095671981
94122,6075980300,0.00480890913692736
94122,6075035100,0.11030962625495655
94122,6075030102,0.026617733907027756
94122,6075035300,0.0
94117,6075030102,0.03802873505475736
94117,6075016100,0.012609263538631569
94117,6075016802,0.009042499748819452
94117,6075016300,0.05731940118557219
94117,6075016400,0.10122576107706219
94117,6075016801,0.06143876218225661
94117,6075980300,0.010097458052848387
94117,6075016500,0.12433437154626746
94117,6075017102,0.09228373354767407
94117,6075015700,0.021601527177735357
94117,6075016700,0.12564051039887472
94117,6075017101,0.098864663920426
94117,6075016900,0.002612277705214508
94117,6075015802,0.020898221641716064
94117,6075017000,0.03441173515522958
94117,6075016600,0.15673666231287048
94117,6075030101,0.032854415754044006
94158,6075022600,0.0007103534008169064
94158,6075060700,0.9992896465991831
94112,6075031302,0.00027285129604365623
94112,6075026002,0.04279217826284675
94112,6075031100,0.035379718053660754
94112,6075025403,0.027694406548431104
94112,6075026001,0.06462028194633924
94112,6075026200,0.08267394270122783
94112,6075025600,0.033287858117326055
94112,6075980501,0.0008640291041382447
94112,6075025500,0.10850386539336061
94112,6075026303,0.052160072760345615
94112,6075031202,0.03574351978171896
94112,6075026003,0.057526148249204184
94112,6075031000,0.05206912232833106
94112,6075026302,0.04574806730331969
94112,6075026004,0.046248294679399726
94112,6075031400,0.07794452023647112
94112,6075026100,0.10441109595270577
94112,6075031201,0.07539790814006367
94112,6075030800,0.0012733060482037289
94112,6075030900,0.0007730786721236926
94112,6081600700,0.00013642564802182812
94112,6075026301,0.05347885402455662
94112,6075031301,0.0010004547521600727
94116,6075060400,0.0003152386356471849
94116,6075032901,0.13769623605069037
94116,6075030400,0.1254649769875796
94116,6075030500,0.0
94116,6075035201,0.01885127041170166
94116,6075030102,0.0
94116,6075032902,0.024336422671962676
94116,6075032801,0.08952777252380052
94116,6075035400,0.1528907382888847
94116,6075035300,0.15226026101759033
94116,6075030302,0.05579723850955173
94116,6075030600,0.0020805749952714204
94116,6075030800,0.04867284534392535
94116,6075035100,0.006430868167202572
94116,6075030301,0.003593720446377908
94116,6075032802,0.024084231763444926
94116,6075033000,0.15799760418636907
94123,6075013102,0.008270676691729323
94123,6075013200,0.03258145363408521
94123,6075012700,0.14442355889724312
94123,6075012602,0.13220551378446116
94123,6075013101,0.007706766917293233
94123,6075012901,0.0893483709273183
94123,6075012800,0.17042606516290726
94123,6075012902,0.14104010025062658
94123,6075012601,0.10401002506265664
94123,6075060100,0.0010025062656641604
94123,6075013000,0.16898496240601504
94129,6075011700,0.0
94129,6075060100,1.0
94129,6075015400,0.0
94118,6075060100,0.00021333333333333333
94118,6075013300,0.0952
94118,6075047600,0.05808
94118,6075980300,0.0
94118,6075015700,0.07930666666666666
94118,6075015400,0.10986666666666667
94118,6075040200,0.13781333333333334
94118,6075045200,0.15941333333333332
94118,6075042602,0.04336
94118,6075040100,0.11130666666666666
94118,6075042800,0.004373333333333333
94118,6075045100,0.11877333333333333
94118,6075015600,0.08229333333333333
94115,6075015802,0.05998286203941731
94115,6075016100,0.10939731505284205
94115,6075013102,0.0011901361515757403
94115,6075013200,0.09735313719889556
94115,6075015200,0.06574312101304389
94115,6075015801,0.09068837475007141
94115,6075015500,0.06983718937446444
94115,6075015900,0.130200894982386
94115,6075013400,0.1065885937351233
94115,6075013300,0.016804722460249454
94115,6075013500,0.09244977625440351
94115,6075060100,0.00028563267637817766
94115,6075015700,0.05060458916500048
94115,6075015400,0.05250880700752166
94115,6075015300,0.056364848138627056
94132,6075060400,0.14352599289635132
94132,6075033203,0.1579754601226994
94132,6075030800,0.00847594446238295
94132,6075031400,0.004924120116241524
94132,6075033201,0.09339683564740071
94132,6075031301,0.0950920245398773
94132,6075030900,0.04447852760736196
